seed,hearthline_seat,hearthline_bank,starter_bank,advantage,result,steps_processed,status,reward_matches_bank,exact_wall_seconds,agent_total_runtime_seconds,agent_max_turn_seconds,agent_exceptions,malformed_actions,action_trace_parity,post_step_state_parity,final_state_parity,crops_lost_unwatered,crops_lost_decay,animals_lost_unfed,overflow_discarded,suspected_unit_noops,remaining_sellable,final_state_sha256
1009,0,35964.0,3569.0,32395.0,WIN,719,DONE,True,0.46344235799995204,0.1317935420017875,0.004774887000053241,0,0,True,True,True,0,0,0,0,0,0,2bb15aeef822a6a5b17b4b4469819742ab869e1baa082936ff30eda282c6eadf
1009,1,35964.0,3569.0,32395.0,WIN,719,DONE,True,0.48006346299996494,0.11926294900058565,0.0018344019999858574,0,0,True,True,True,0,0,0,0,0,0,5e37a02751134075104b53a678aacdf5edbb55732ebb49da2ed04a2c13d33e4b
2003,0,35091.0,3494.0,31597.0,WIN,719,DONE,True,0.44508378700004414,0.12393787899861763,0.0017378399999188332,0,0,True,True,True,0,0,0,0,0,0,5e933bef599e3e95ba5a59c9cd5ab6d67f9f3ffe690d2945eaf77ecb5a65b2e0
2003,1,35091.0,3494.0,31597.0,WIN,719,DONE,True,0.4459882049999351,0.1229804200002036,0.002117241000064496,0,0,True,True,True,0,0,0,0,0,0,3f782ba2f2c831ba430342e2ceb6245a5bf52afb5a0025ff986f5a21e405f7f2
3001,0,33490.0,3381.0,30109.0,WIN,719,DONE,True,0.4418150630000355,0.12054884700023649,0.0020510260000037306,0,0,True,True,True,0,0,0,0,0,0,34d1757695ad23e55105a3535ce4eb72cf8095e2c377927a9b196a18001cebd0
3001,1,33490.0,3381.0,30109.0,WIN,719,DONE,True,0.43542837899997267,0.11752959800082863,0.0017666609999196226,0,0,True,True,True,0,0,0,0,0,0,da2cae88298202b1327e3a849ce7c50603090bd34b6689c1206f704c8e7dff77
4001,0,34756.0,3460.0,31296.0,WIN,719,DONE,True,0.4329679259999466,0.11935174200095844,0.0013726079999969443,0,0,True,True,True,0,0,0,0,0,0,d7b532cc1ad631603b72b1890f672cabeebd28f0eadbe92c73ebf2471297d4bd
4001,1,34756.0,3460.0,31296.0,WIN,719,DONE,True,0.4265414390000615,0.11653244300043752,0.001386541999977453,0,0,True,True,True,0,0,0,0,0,0,e1e40e030584778ce03c61393f4d1d85209f78df207f5be92a1ddd69ed1fad0a
5003,0,35227.0,3532.0,31695.0,WIN,719,DONE,True,0.4348081819999834,0.12020429200197214,0.0017462380000097255,0,0,True,True,True,0,0,0,0,0,0,07e3b8b60d5b425d86f129dededd63a4432fb01c33ad0f35fbcd412f9885dba7
5003,1,35227.0,3532.0,31695.0,WIN,719,DONE,True,0.4402814610000405,0.11688037699946108,0.0021157249999532723,0,0,True,True,True,0,0,0,0,0,0,52ff6959290b171c3ddd8fc0a5d26a1eb1abd9f24c129351e13ff62f44da0056
6007,0,33795.0,3394.0,30401.0,WIN,719,DONE,True,0.45393932800004677,0.1245111120014144,0.003438702999915222,0,0,True,True,True,0,0,0,0,0,0,f81ed69e4f2256227b10c1fa58afd040f3f25204b91e03c890492f7cb1127846
6007,1,33795.0,3394.0,30401.0,WIN,719,DONE,True,0.4258900510000103,0.11349613700087957,0.0005828619999874718,0,0,True,True,True,0,0,0,0,0,0,ede97aa06dbc714f3e13baa96e33a69a7b37cafa24bcb97a427dd761b3e1f8f1
7001,0,33490.0,3381.0,30109.0,WIN,719,DONE,True,0.4280053480000561,0.11760101499930897,0.0008207040000343113,0,0,True,True,True,0,0,0,0,0,0,dff426645261e8b4eda9d3021b450be7eadac262f52a2a7be7828dd28cf193c3
7001,1,33490.0,3381.0,30109.0,WIN,719,DONE,True,0.4335109740000007,0.11941040000124303,0.0013293429999521322,0,0,True,True,True,0,0,0,0,0,0,7a77ad845b623b520ad6a3977abed89a5ad6c9fb1c95343de37fcc435c7bcbc0
8009,0,34887.0,3514.0,31373.0,WIN,719,DONE,True,0.4448115060000646,0.12556997899810085,0.0020324549999486408,0,0,True,True,True,0,0,0,0,0,0,7079a025cb8cf67b770f8ba04e785f5c021f7b7a2bac942f1a13cd15881522fa
8009,1,34887.0,3514.0,31373.0,WIN,719,DONE,True,0.45680361500001254,0.12127437600008761,0.0025278049999997165,0,0,True,True,True,0,0,0,0,0,0,7330c510172cd96ff9b923dc39b2fb2f276afe7fcdec0a59ec7d990b0beb7938
9001,0,35692.0,3584.0,32108.0,WIN,719,DONE,True,0.43725618600001326,0.12025934700079688,0.0019760980000000927,0,0,True,True,True,0,0,0,0,0,0,1114eb7c04b0af9a7dc05d0c1e976b9457b56e196f12e0384a9ee393b13d89c9
9001,1,35692.0,3584.0,32108.0,WIN,719,DONE,True,0.451048093000054,0.12070708600072066,0.0014338390000148138,0,0,True,True,True,0,0,0,0,0,0,81d8969a98e6a41e206b8991143f78122cfba491b282d83386c82c85ae69f82c
